Día,Positivos,NuevosPos,Muertos,NuevosMue,Letalidad
01-mar-20,1,0,0,0,0.0%
02-mar-20,1,0,0,0,0.0%
03-mar-20,1,0,0,0,0.0%
04-mar-20,1,0,0,0,0.0%
05-mar-20,1,0,0,0,0.0%
06-mar-20,2,1,0,0,0.0%
07-mar-20,3,1,0,0,0.0%
08-mar-20,3,0,0,0,0.0%
09-mar-20,3,0,0,0,0.0%
10-mar-20,7,4,0,0,0.0%
11-mar-20,11,4,0,0,0.0%
12-mar-20,16,5,0,0,0.0%
13-mar-20,26,10,0,0,0.0%
14-mar-20,41,15,0,0,0.0%
15-mar-20,53,12,0,0,0.0%
16-mar-20,61,8,0,0,0.0%
17-mar-20,82,21,0,0,0.0%
18-mar-20,118,36,0,0,0.0%
19-mar-20,164,46,1,1,0.6%
20-mar-20,203,39,2,1,1.0%
21-mar-20,251,48,2,0,0.8%
22-mar-20,316,65,2,0,0.6%
23-mar-20,367,51,4,2,1.1%
24-mar-20,405,38,5,1,1.2%
25-mar-20,475,70,6,1,1.3%
26-mar-20,585,110,8,2,1.4%
27-mar-20,717,132,12,4,1.7%
28-mar-20,848,131,16,4,1.9%
29-mar-20,993,145,20,4,2.0%
30-mar-20,1094,101,28,8,2.6%
31-mar-20,1215,121,29,1,2.4%
01-abr-20,1378,163,37,8,2.7%
02-abr-20,1510,132,50,13,3.3%
03-abr-20,1688,178,60,10,3.6%
04-abr-20,1890,202,79,19,4.2%
05-abr-20,2143,253,94,15,4.4%
06-abr-20,2439,296,125,31,5.1%
07-abr-20,2785,346,141,16,5.1%
08-abr-20,3181,396,174,33,5.5%
09-abr-20,3441,260,192,18,5.6%
10-abr-20,3844,403,233,41,6.1%
11-abr-20,4219,375,273,40,6.5%
12-abr-20,4661,442,296,23,6.4%
13-abr-20,5014,353,332,36,6.6%
14-abr-20,5399,385,406,74,7.5%
15-abr-20,5847,448,449,43,7.7%
16-abr-20,6297,450,486,37,7.7%
17-abr-20,6875,578,546,60,7.9%
18-abr-20,7497,622,650,104,8.7%
19-abr-20,8261,764,686,36,8.3%
20-abr-20,8772,511,712,26,8.1%
21-abr-20,9501,729,857,145,9.0%
22-abr-20,10544,1043,970,113,9.2%
23-abr-20,11633,1089,1069,99,9.2%
24-abr-20,12872,1239,1221,152,9.5%
25-abr-20,13842,970,1305,84,9.4%
26-abr-20,14677,835,1351,46,9.2%
27-abr-20,15529,852,1434,83,9.2%
28-abr-20,16752,1223,1569,135,9.4%
29-abr-20,17799,1047,1732,163,9.7%
30-abr-20,19224,1425,1859,127,9.7%
01-may-20,20739,1515,1972,113,9.5%
02-may-20,22088,1349,2061,89,9.3%
03-may-20,23471,1383,2154,93,9.2%
04-may-20,24905,1434,2271,117,9.1%
05-may-20,26025,1120,2507,236,9.6%
06-may-20,27634,1609,2704,197,9.8%
07-may-20,29616,1982,2961,257,10.0%
08-may-20,31522,1906,3160,199,10.0%
09-may-20,33460,1938,3353,193,10.0%
10-may-20,35022,1562,3465,112,9.9%
11-may-20,36327,1305,3573,108,9.8%
12-may-20,38324,1997,3926,353,10.2%
13-may-20,40186,1862,4220,294,10.5%
14-may-20,42595,2409,4477,257,10.5%
15-may-20,45032,2437,4767,290,10.6%
16-may-20,47144,2112,5045,278,10.7%
17-may-20,49219,2075,5177,132,10.5%
18-may-20,51633,2414,5332,155,10.3%
19-may-20,54346,2713,5666,334,10.4%
20-may-20,56594,2248,6090,424,10.8%
21-may-20,59567,2973,6510,420,10.9%
22-may-20,62527,2960,6989,479,11.2%
23-may-20,65856,3329,7179,190,10.9%
24-may-20,68620,2764,7394,215,10.8%
25-may-20,71105,2485,7633,239,10.7%
26-may-20,74560,3455,8134,501,10.9%
27-may-20,78023,3463,8597,463,11.0%
